siteID,amt,mtcq,ap,pwq,ts,ps,ele,ele_SD,incli,cd,fe,nlut,agri,ah,N,mt,ndep,T,H,L,PSR,BSR
292,2.05,0.45,-0.535,-2.34,0.6460000000000008,-0.2,-2.855,-1.7029895513427682,-1.5404958677685952,-1,-3.3959288467685655,0.3333333333333333,-3.677685950413223,-5.520661157024793,4.010152284263961,2.829457364341086,0.5156000000000001,0.5927835051546371,3.652849740932642,-1.532663316582914,-0.508623253810562,-2
293,-1.075,-2.225,3.0875,0.4,-0.32399999999999984,-2.2,3.85,0.38456566033098594,4.5438016528925615,1.5,1.7511405698720672,-0.6666666666666666,-1.942148760330579,2,-2.679127725856696,-0.6595744680851068,0.21780000000000008,-9.530201342281881,0.15974440894568787,-0.10835913312693624,3.2208671582885984,2.937253933193772
294,0.9,-0.55,0.51,-1.42,0.3100000000000005,-1.2,-0.375,-1.192453752362257,0.24242424242424257,1.5,-2.0699978753133217,-0.3333333333333333,2.5757575757575752,1.2929292929292928,1.7703349282296665,3.1879194630872476,1.2919,-0.9230769230769242,-0.6188118811881171,-1.4761904761904754,-0.13393125268149397,-0.5278640450004204
295,1.675,0.15,-0.1875,-1.8,0.4800000000000004,0,-2.015,-1.8827318884273734,-1.5585585585585586,2,-3.390830887229161,-0.6666666666666666,2.4774774774774784,1.5495495495495504,4.18848167539267,3.8235294117647056,1.8632000000000002,0.24590163934426368,-0.32258064516129004,-1.8229166666666652,-0.6472999055926767,-0.8768943743823394
296,-2.425,-3.375,4.4975,1.87,-0.8510000000000009,-2.4,6.395,0.8377421595434441,4.08256880733945,1,-5,-2.3333333333333335,-4.26605504587156,2,-4.347826086956523,-1.0655737704918034,0.011800000000000033,-15.331125827814569,2.4367088607594933,3.2926829268292668,-1.9615951895947017,-0.2041684766872809
297,1.7,0.2,-0.135,-1.66,0.4299999999999997,0,-2.4075,-1.6162497091671646,-1.0683333333333334,-0.5,-4.624316645061478,1.6666666666666667,-0.5,-2.6666666666666665,4.09448818897638,2.746478873239435,0.9795000000000001,1.6049382716049365,-1.2248995983935762,-0.9215686274509816,1.4316767251549827,-0.7573593128807152
298,-3.575,-4.225,4.965,1.82,-1.4990000000000006,-2.6,8.96,2.3455460655306597,5.594117647058823,-0.5,-5,-2.3333333333333335,-4.509803921568627,2,-8.026315789473685,-0.8333333333333348,-0.7045999999999999,-20.069444444444446,-0.855263157894739,7.999999999999998,-5.726381504504296,-1.2583426132260587
299,-0.5,-1.7,2.245,0.64,-0.16999999999999993,-1.2,2.49,1.002003775258563,3.581818181818182,1.5,3.8487688387284305,1,-2.107438016528926,0.016528925619834923,0.028571428571426694,-0.7894736842105265,-0.007499999999999929,-1.8237082066869315,-3.0959302325581417,0.11363636363636243,4.235384061671343,3
300,-4.15,-4.625,5.9075,3.96,-2.087999999999999,-1.5,8.295,1.2637668942800315,4.12,1,-5,-2,-5,1.1304347826086953,-9.425287356321839,-2.7551020408163263,-0.41130000000000005,-21.11764705882353,0.11494252873563315,9.831460674157304,-5.100505063388335,-2
301,-2.275,-3.025,2.0325,1.2,-1.3230000000000004,0.9,6.135,0.7673816085738691,4.461818181818183,0.5,-0.9175911192545313,-1.3333333333333333,-1.7272727272727273,2,-7.155555555555555,-1.8292682926829285,-0.3259,-15.35377358490566,-0.42986425339366363,4.2982456140350855,0.5884572681198961,1
302,-2.25,-3,1.245,0.32,-1.2200000000000006,1.2,5.99,1.2927647049531368,4.870707070707072,-0.5,1.0767077186095166,-1.3333333333333333,-5,2,-6.235955056179776,-2.4820143884892065,-0.3511,-14.881656804733726,0.5681818181818166,2.3076923076923084,-1.1797250389147464,0.7445626465380286
303,-2.625,-3.3,1.095,0.04,-1.3919999999999995,1.1,7.06,1.5241970863338998,4.922641509433963,-0.5,-4.159477131521688,-2,-2.641509433962264,2,-6.4953271028037385,-2.0059880239520966,-0.4258,-13.112244897959181,-2.0952380952380967,3.8018433179723488,0.19868415357066382,1.6332495807107996
304,-2.85,-3.55,1.595,0.5,-1.4800000000000004,0.6,7.09,-0.6618262850521313,1.810526315789474,0,-5,-2,3.631578947368422,2,-7.821229050279328,-1.2758620689655187,-0.4725,-16.595092024539877,-0.05681818181818343,6.098901098901095,-1.0716117228158808,-0.2041684766872809
305,1.3,-0.3,0.855,-2.02,0.5719999999999992,-2,-1.02,-1.3622509176948705,-0.5373737373737374,-1,-3.9677850008554167,0,3.2828282828282824,0.8888888888888886,3.3734939759036164,2.1140939597315445,1.443,1.3829787234042534,-2.604166666666665,-0.15873015873015817,1.1864140562386467,0.38516480713450374
306,0.6,-0.9,1.72,-1.3,0.30400000000000027,-1.8,0.18,-1.6330987436710291,-0.6150943396226415,1.5,0.8716222767141099,0.6666666666666666,2.2641509433962255,1.2452830188679243,1.6532258064516148,2.065217391304346,1.2402000000000002,-2.683982683982684,0.20661157024793209,-2.3092369477911667,1.278820596099706,1.164414002968976
307,1.325,-0.3125,0.4625,-2.17,0.6645000000000003,-2,-1.14,-1.536893463560852,-0.9303571428571429,0,-0.4642838925187807,0,-1.0714285714285716,1.5535714285714293,3.5636363636363644,1.2427745664739875,1.1795000000000002,-0.3409090909090917,0.41353383458646586,-2.971014492753623,2.0587221092319794,0.6568542494923806
308,2.0375,0.375,-0.295,-2.5,0.7370000000000001,-1,-2.695,-1.6456331751718534,-1.2745454545454546,0.5,-0.4820442870459992,-1,3.4545454545454546,1.636363636363636,5,3.017241379310347,0.4852,0.8883248730964466,0.8121827411167493,-1.6009852216748754,-0.3712611616722068,0
309,-0.125,-1.475,2.42,-0.51,-0.07399999999999984,-1.7,1.5,-1.3371493672284243,0.5075471698113209,1,5.232459455139313,-1.6666666666666667,1.0377358490566038,1.905660377358491,-0.42857142857142705,1.8639053254437865,0.641,-4.274611398963732,-0.5853658536585371,-1.9339622641509413,-0.13393125268149397,1.164414002968976
310,1.7,0.1,-0.245,-2.12,0.5779999999999994,-0.4,-2.325,-1.5273957119113752,-0.9078260869565218,1,-2.057691321686287,0.3333333333333333,1.6956521739130437,1.2173913043478266,3.9382239382239392,2.5974025974025983,0.7112999999999999,0.8097165991902822,-1.0317460317460325,-1.0769230769230775,1.6733320005330654,0.8309518948453007
311,3.05,1.4,1.49,0.08,0.7859999999999996,1.2,-3.2675,0.11000910314295112,2.1090909090909093,-1,2.809282785244148,0.6666666666666666,-4.181818181818182,-0.9090909090909094,2.3161764705882337,0.4676258992805771,1.3639,1.1450381679389299,-1.1610486891385774,-3.02197802197802,1.941074346097416,0
